web-scraper-order,web-scraper-start-url,all,all-href,Name,Date,Link,Link-href
"1616710578-20","https://www.tacoma.uw.edu/news/news-information","More news >[18]","https://www.tacoma.uw.edu/news/news-archive","Future of Work as a Result of COVID-19 Pandemic and Rapid Digital Transformation[11]","February 19, 2021","Future of Work as a Result of COVID-19 Pandemic and Rapid Digital Transformation[11]","https://www.tacoma.uw.edu/milgard-school-business/article/future-work-result-covid-19-pandemic-rapid-digital-transformation"
"1616710578-18","https://www.tacoma.uw.edu/news/news-information","More news >[18]","https://www.tacoma.uw.edu/news/news-archive","The six-continent competition[9]","February 25, 2021","The six-continent competition[9]","https://www.tacoma.uw.edu/news/article/six-continent-competition"
"1616710578-14","https://www.tacoma.uw.edu/news/news-information","More news >[18]","https://www.tacoma.uw.edu/news/news-archive","Paths to Completion [5]","March 4, 2021","Paths to Completion [5]","https://www.tacoma.uw.edu/news/article/paths-completion"
"1616710578-13","https://www.tacoma.uw.edu/news/news-information","More news >[18]","https://www.tacoma.uw.edu/news/news-archive","New Education Specialist (EdS) in School Psychology Program[4]","March 9, 2021","New Education Specialist (EdS) in School Psychology Program[4]","https://www.tacoma.uw.edu/news/article/new-education-specialist-eds-school-psychology-program"
"1616710578-16","https://www.tacoma.uw.edu/news/news-information","More news >[18]","https://www.tacoma.uw.edu/news/news-archive","The Art of Thermodynamics[7]","February 26, 2021","The Art of Thermodynamics[7]","https://www.tacoma.uw.edu/news/article/art-thermodynamics"
"1616710578-15","https://www.tacoma.uw.edu/news/news-information","More news >[18]","https://www.tacoma.uw.edu/news/news-archive","Altaf Merchant Named Dean[6]","March 1, 2021","Altaf Merchant Named Dean[6]","https://www.tacoma.uw.edu/milgard-school-business/article/altaf-merchant-named-dean"
"1616710578-11","https://www.tacoma.uw.edu/news/news-information","More news >[18]","https://www.tacoma.uw.edu/news/news-archive","Taking Care[2]","March 19, 2021","Taking Care[2]","https://www.tacoma.uw.edu/news/article/taking-care"
"1616710578-17","https://www.tacoma.uw.edu/news/news-information","More news >[18]","https://www.tacoma.uw.edu/news/news-archive","Engineering Something Amazing[8]","February 26, 2021","Engineering Something Amazing[8]","https://www.tacoma.uw.edu/news/article/engineering-something-amazing"
"1616710578-12","https://www.tacoma.uw.edu/news/news-information","More news >[18]","https://www.tacoma.uw.edu/news/news-archive","Meet Altaf Merchant[3]","March 11, 2021","Meet Altaf Merchant[3]","https://www.tacoma.uw.edu/news/article/meet-altaf-merchant"
"1616710578-19","https://www.tacoma.uw.edu/news/news-information","More news >[18]","https://www.tacoma.uw.edu/news/news-archive","Dr. Altaf Merchant, South Sound Magazine, Feb. 22, 2021[10]","February 23, 2021","Dr. Altaf Merchant, South Sound Magazine, Feb. 22, 2021[10]","https://www.tacoma.uw.edu/milgard-school-business/article/dr-altaf-merchant-south-sound-magazine-feb-22-2021"
